widget_id,label,type,page,rect
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_1[0],that apply: For calendar year 2025 or fiscal year beginning,Text,0,"310,66,389,78"
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_2[0],"year 2025 or fiscal year beginning , 2025, and ending",Text,0,"461,66,540,78"
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_3[0],"fiscal year beginning , 2025, and ending , 20",Text,0,"554,66,576,78"
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_4[0],Decedent’s Simple trust estate,Text,0,"138,88,438,102"
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_5[0],Complex Qualified disability trust trust,Text,0,"138,112,438,126"
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_6[0],ESBT Grantor Bankruptcy (S type portion estate—Ch. trust only) 7,Text,0,"138,136,374,162"
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_7[0],ESBT Grantor Bankruptcy (S type portion estate—Ch. trust only) 7,Text,0,"374,136,439,162"
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_8[0],Bankruptcy Pooled income estate—Ch. fund 11,Text,0,"138,172,222,186"
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_9[0],Bankruptcy Pooled income estate—Ch. fund 11,Text,0,"224,172,302,186"
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_10[0],Bankruptcy Pooled income estate—Ch. fund 11,Text,0,"303,172,359,186"
topmostSubform[0].Page1[0].DateNameAddress_ReadOrder[0].f1_11[0],Bankruptcy Pooled income estate—Ch. fund 11,Text,0,"360,172,439,186"
topmostSubform[0].Page1[0].LinesA-B[0].c1_1[0],Decedent’s estate Name of estate or trust (If,CheckBox,0,"37,80,45,88"
topmostSubform[0].Page1[0].LinesA-B[0].c1_2[0],Simple trust,CheckBox,0,"37,92,45,100"
topmostSubform[0].Page1[0].LinesA-B[0].c1_3[0],Complex trust Name and title of fiduciary,CheckBox,0,"37,104,45,112"
topmostSubform[0].Page1[0].LinesA-B[0].c1_4[0],Qualified disability trust,CheckBox,0,"37,116,45,124"
topmostSubform[0].Page1[0].LinesA-B[0].c1_5[0],ESBT (S portion only) Number and street (If,CheckBox,0,"37,128,45,136"
topmostSubform[0].Page1[0].LinesA-B[0].c1_6[0],Grantor type trust,CheckBox,0,"37,140,45,148"
topmostSubform[0].Page1[0].LinesA-B[0].c1_7[0],Bankruptcy estate—Ch. 7,CheckBox,0,"37,152,45,160"
topmostSubform[0].Page1[0].LinesA-B[0].c1_8[0],Bankruptcy estate—Ch. 11 City or town State or,CheckBox,0,"37,164,45,172"
topmostSubform[0].Page1[0].LinesA-B[0].c1_9[0],Pooled income fund,CheckBox,0,"37,176,45,184"
topmostSubform[0].Page1[0].LinesA-B[0].f1_12[0],attached instructions) (see,Text,0,"90,198,136,210"
topmostSubform[0].Page1[0].LinesC-E[0].f1_13[0],C Employer identification number,Text,0,"439,88,576,102"
topmostSubform[0].Page1[0].LinesC-E[0].f1_14[0],trust,Text,0,"439,112,576,126"
topmostSubform[0].Page1[0].LinesC-E[0].c1_10[0],Described in sec. 4947(a)(1). Check here,CheckBox,0,"443,152,451,160"
topmostSubform[0].Page1[0].LinesC-E[0].c1_11[0],postal code if not a private foundation . . .,CheckBox,0,"567,162,575,170"
topmostSubform[0].Page1[0].LinesC-E[0].c1_12[0],Described in sec. 4947(a)(2),CheckBox,0,"443,175,451,183"
topmostSubform[0].Page1[0].c1_13[0],Initial return Final return Amended return,CheckBox,0,"187,188,195,196"
topmostSubform[0].Page1[0].c1_14[0],Final return Amended return Net operating loss carryback,CheckBox,0,"281,188,289,196"
topmostSubform[0].Page1[0].c1_15[0],Amended return Net operating loss carryback,CheckBox,0,"364,188,372,196"
topmostSubform[0].Page1[0].c1_16[0],Net operating loss carryback,CheckBox,0,"470,188,478,196"
topmostSubform[0].Page1[0].c1_17[0],Change in trust’s name Change in fiduciary Change,CheckBox,0,"187,200,195,208"
topmostSubform[0].Page1[0].c1_18[0],Change in fiduciary Change in fiduciary’s name Change,CheckBox,0,"281,200,289,208"
topmostSubform[0].Page1[0].c1_19[0],Change in fiduciary’s name Change in fiduciary’s address,CheckBox,0,"364,200,372,208"
topmostSubform[0].Page1[0].c1_20[0],Change in fiduciary’s address,CheckBox,0,"470,200,478,208"
topmostSubform[0].Page1[0].c1_21[0],G(2) Trust TIN,CheckBox,0,"364,212,372,220"
topmostSubform[0].Page1[0].f1_15[0],. . . . . . . G(2) Trust TIN,Text,0,"432,210,576,222"
topmostSubform[0].Page1[0].f1_16[0],. . . . . . . . . 1,Text,0,"504,222,576,234"
topmostSubform[0].Page1[0].f1_17[0],. . . . . . . . . 2a,Text,0,"504,234,576,246"
topmostSubform[0].Page1[0].f1_18[0],b Qualified dividends allocable to: (1) Beneficiaries,Text,0,"259,246,331,258"
topmostSubform[0].Page1[0].f1_19[0],Qualified dividends allocable to: (1) Beneficiaries (2) Estate or trust,Text,0,"403,246,475,258"
topmostSubform[0].Page1[0].f1_20[0],. . . . . . . . . 3,Text,0,"504,258,576,270"
topmostSubform[0].Page1[0].f1_21[0],. . . . . . . . . 4,Text,0,"504,270,576,282"
topmostSubform[0].Page1[0].f1_22[0],"trusts, etc. Attach Schedule E (Form 1040) . . 5",Text,0,"504,282,576,294"
topmostSubform[0].Page1[0].f1_23[0],. . . . . . . . . 6,Text,0,"504,294,576,306"
topmostSubform[0].Page1[0].f1_24[0],. . . . . . . . . 7,Text,0,"504,306,576,318"
topmostSubform[0].Page1[0].f1_25[0],8 Other income. List type and amount,Text,0,"230,318,475,330"
topmostSubform[0].Page1[0].f1_26[0],and amount 8,Text,0,"504,318,576,330"
topmostSubform[0].Page1[0].f1_27[0],. . . . . . . . . 9,Text,0,"504,330,576,342"
topmostSubform[0].Page1[0].c1_22[0],. . . . . . . .,CheckBox,0,"247,344,255,352"
topmostSubform[0].Page1[0].f1_28[0],. . . . . . . . . 10,Text,0,"504,342,576,354"
topmostSubform[0].Page1[0].f1_29[0],. . . . . . . . . 11,Text,0,"504,354,576,366"
topmostSubform[0].Page1[0].f1_30[0],"67(e), see instructions . . . . . . 12",Text,0,"504,366,576,378"
topmostSubform[0].Page1[0].f1_31[0],. . . . . . . . . 13,Text,0,"504,378,576,390"
topmostSubform[0].Page1[0].f1_32[0],. . . . . . . . . 14,Text,0,"504,402,576,414"
topmostSubform[0].Page1[0].f1_33[0],schedule). See instructions for deductions allowable under section 67(e) 15a,Text,0,"504,414,576,426"
topmostSubform[0].Page1[0].f1_34[0],. . . . . . . . . 15b,Text,0,"504,426,576,438"
topmostSubform[0].Page1[0].f1_35[0],. . . . . . . . . 16,Text,0,"504,438,576,450"
topmostSubform[0].Page1[0].f1_36[0],16 from line 9 . . . . . 17,Text,0,"410,450,482,462"
topmostSubform[0].Page1[0].f1_37[0],line 15). Attach Schedules K-1 (Form 1041) . . 18,Text,0,"504,462,576,474"
topmostSubform[0].Page1[0].f1_38[0],certain generation-skipping taxes (attach computation) . . . . 19,Text,0,"504,474,576,486"
topmostSubform[0].Page1[0].f1_39[0],. . . . . . . . . 20,Text,0,"504,486,576,498"
topmostSubform[0].Page1[0].f1_40[0],. . . . . . . . . 21,Text,0,"504,498,576,510"
topmostSubform[0].Page1[0].f1_41[0],. . . . . . . . . 22,Text,0,"504,510,576,522"
topmostSubform[0].Page1[0].f1_42[0],. . . . . . . . . 23,Text,0,"504,522,576,534"
topmostSubform[0].Page1[0].f1_43[0],. . . . . . . . . 24,Text,0,"504,534,576,546"
topmostSubform[0].Page1[0].f1_44[0],"965-A, Part II, column (k) (see instructions) . . 25a",Text,0,"504,546,576,558"
topmostSubform[0].Page1[0].f1_45[0],"tax liability. Enter amount from Form 1062, line 15 25b",Text,0,"504,558,576,570"
topmostSubform[0].Page1[0].f1_46[0],. . . . . . . . . 26,Text,0,"504,570,576,582"
topmostSubform[0].Page1[0].f1_47[0],. . . . . . . . . 27,Text,0,"504,582,576,594"
topmostSubform[0].Page1[0].f1_48[0],"25a, 25b, and 27, enter amount owed . . 28",Text,0,"504,594,576,606"
topmostSubform[0].Page1[0].f1_49[0],"lines 24, 25a, 25b, and 27, enter amount overpaid 29",Text,0,"504,606,576,618"
topmostSubform[0].Page1[0].f1_50[0],Amount of line 29 to be: a Credited to 2026,Text,0,"266,618,338,630"
topmostSubform[0].Page1[0].f1_51[0],; b Refunded . . . . . . 30b,Text,0,"504,618,576,630"
topmostSubform[0].Page1[0].Line30cCombfield[0].f1_52[0],c Routing number,Text,0,"151,642,281,653"
topmostSubform[0].Page1[0].c1_23[0],Checking Savings,CheckBox,0,"353,644,361,652"
topmostSubform[0].Page1[0].c1_23[1],Savings,CheckBox,0,"418,644,426,652"
topmostSubform[0].Page1[0].Line30eCombfield[0].f1_53[0],e Account number,Text,0,"151,654,396,664"
topmostSubform[0].Page1[0].f1_54[0],Sign Here,Text,0,"346,684,475,696"
topmostSubform[0].Page1[0].c1_24[0],Yes No,CheckBox,0,"535,699,541,705"
topmostSubform[0].Page1[0].c1_24[1],No,CheckBox,0,"557,699,563,705"
topmostSubform[0].Page1[0].f1_55[0],Paid Preparer,Text,0,"87,718,237,732"
topmostSubform[0].Page1[0].c1_25[0],if PTIN,CheckBox,0,"482,711,490,719"
topmostSubform[0].Page1[0].f1_56[0],Check self-employed if,Text,0,"504,718,576,732"
topmostSubform[0].Page1[0].f1_57[0],Preparer Use Only Firm’s name,Text,0,"144,732,446,744"
topmostSubform[0].Page1[0].f1_58[0],Use Only Firm’s address,Text,0,"144,744,446,756"
topmostSubform[0].Page1[0].f1_59[0],Firm’s EIN,Text,0,"490,732,576,744"
topmostSubform[0].Page1[0].f1_60[0],Phone no.,Text,0,"490,744,576,756"
topmostSubform[0].Page2[0].f2_1[0],for charitable purposes from gross income. See instructions . 1,Text,1,"504,60,576,72"
topmostSubform[0].Page2[0].f2_2[0],. . . . . . . . . 2,Text,1,"504,72,576,84"
topmostSubform[0].Page2[0].f2_3[0],. . . . . . . . . 3,Text,1,"504,84,576,96"
topmostSubform[0].Page2[0].f2_4[0],. . . . . . . . . 4,Text,1,"504,108,576,120"
topmostSubform[0].Page2[0].f2_5[0],. . . . . . . . . 5,Text,1,"504,120,576,132"
topmostSubform[0].Page2[0].f2_6[0],. . . . . . . . . 6,Text,1,"504,144,576,156"
topmostSubform[0].Page2[0].f2_7[0],"1, line 13 . . . . . . 7",Text,1,"504,156,576,168"
topmostSubform[0].Page2[0].f2_8[0],. . . . . . . . . 1,Text,1,"504,180,576,192"
topmostSubform[0].Page2[0].f2_9[0],. . . . . . . . . 2,Text,1,"504,192,576,204"
topmostSubform[0].Page2[0].f2_10[0],See instructions . . . . . . . 3,Text,1,"504,204,576,216"
topmostSubform[0].Page2[0].f2_11[0],section 1202 exclusion) . . . . . . 4,Text,1,"504,216,576,228"
topmostSubform[0].Page2[0].f2_12[0],instructions . . . . . . . . 5,Text,1,"504,228,576,240"
topmostSubform[0].Page2[0].f2_13[0],. . . . . . . . . 6,Text,1,"504,252,576,264"
topmostSubform[0].Page2[0].f2_14[0],-0- . . . . . . . . 7,Text,1,"504,264,576,276"
topmostSubform[0].Page2[0].f2_15[0],local law . . . . . . . 8,Text,1,"410,288,482,300"
topmostSubform[0].Page2[0].f2_16[0],. . . . . . . . . 9,Text,1,"504,300,576,312"
topmostSubform[0].Page2[0].f2_17[0],. . . . . . . . . 10,Text,1,"504,312,576,324"
topmostSubform[0].Page2[0].f2_18[0],instructions . . . . . . . . 11,Text,1,"504,324,576,336"
topmostSubform[0].Page2[0].f2_19[0],. . . . . . . . . 12,Text,1,"504,336,576,348"
topmostSubform[0].Page2[0].f2_20[0],. . . . . . . . . 13,Text,1,"504,348,576,360"
topmostSubform[0].Page2[0].f2_21[0],"If zero or less, enter -0- . . . 14",Text,1,"504,360,576,372"
topmostSubform[0].Page2[0].f2_22[0],"14 here and on page 1, line 18 . 15",Text,1,"504,372,576,384"
topmostSubform[0].Page2[0].Ln1a_ReadOrder[0].f2_23[0],. . . . . . . . . 1a,Text,1,"410,420,482,432"
topmostSubform[0].Page2[0].f2_24[0],. . . . . . . . . 1b,Text,1,"410,432,482,444"
topmostSubform[0].Page2[0].f2_25[0],"(Form 1041), line 54) . . . . . 1c",Text,1,"410,444,482,456"
topmostSubform[0].Page2[0].f2_26[0],. . . . . . . . . 1d,Text,1,"410,456,482,468"
topmostSubform[0].Page2[0].f2_27[0],. . . . . . . . . 1e,Text,1,"504,468,576,480"
topmostSubform[0].Page2[0].f2_28[0],. . . . . . . . . 2a,Text,1,"410,480,482,492"
topmostSubform[0].Page2[0].f2_29[0],. . . . . . . . . 2b,Text,1,"410,492,482,504"
topmostSubform[0].Page2[0].f2_30[0],8801 . . . . . . . . 2c,Text,1,"410,504,482,516"
topmostSubform[0].Page2[0].f2_31[0],. . . . . . . . . 2d,Text,1,"410,516,482,528"
topmostSubform[0].Page2[0].f2_32[0],. . . . . . . . . 2e,Text,1,"504,528,576,540"
topmostSubform[0].Page2[0].f2_33[0],. . . . . . . . . 3,Text,1,"504,540,576,552"
topmostSubform[0].Page2[0].f2_34[0],"Worksheet, line 17). See instructions . . . . 4",Text,1,"504,552,576,564"
topmostSubform[0].Page2[0].f2_35[0],. . . . . . . . . 5,Text,1,"504,564,576,576"
topmostSubform[0].Page2[0].f2_36[0],. . . . . . . . . 6a,Text,1,"504,576,576,588"
topmostSubform[0].Page2[0].f2_37[0],. . . . . . . . . 6b,Text,1,"504,588,576,600"
topmostSubform[0].Page2[0].f2_38[0],c Other recapture taxes:,Text,1,"158,600,475,612"
topmostSubform[0].Page2[0].f2_39[0],6c,Text,1,"504,600,576,612"
topmostSubform[0].Page2[0].f2_40[0],. . . . . . . . . 7,Text,1,"504,612,576,624"
