field_id,label,caption,type,page,rect
topmostsubform_0_page1_0_p1_t1_0,topmostSubform[0].Page1[0].p1-t1[0],,text,1,"72.0,106.0,439.2,120.0"
topmostsubform_0_page1_0_p1_t2_0,topmostSubform[0].Page1[0].p1-t2[0],,text,1,"439.2,106.0,576.0,120.0"
topmostsubform_0_page1_0_p1_t4_0,topmostSubform[0].Page1[0].p1-t4[0],or,text,1,"72.0,130.0,576.0,144.0"
topmostsubform_0_page1_0_p1_t5_0,topmostSubform[0].Page1[0].p1-t5[0],,text,1,"72.0,164.0,576.0,180.0"
topmostsubform_0_page1_0_c1_01_0_0,topmostSubform[0].Page1[0].c1_01_0_[0],Address change Late classification relief sought under Revenue,checkbox,1,"93.6,182.0,101.6,190.0"
topmostsubform_0_page1_0_c1_06_0_0,topmostSubform[0].Page1[0].c1_06_0_[0],Late classification relief sought under Revenue Procedure 2009-41,checkbox,1,"187.2,182.0,195.2,190.0"
topmostsubform_0_page1_0_c1_07_0,topmostSubform[0].Page1[0].c1_07[0],Relief for a late change of entity classification,checkbox,1,"93.6,194.0,101.6,202.0"
topmostsubform_0_page1_0_c1_02_0_0,topmostSubform[0].Page1[0].c1_02_0_[0],Initial classification by a newly-formed entity. Skip lines,checkbox,1,"66.8,254.0,74.8,262.0"
topmostsubform_0_page1_0_c1_02_0_1,topmostSubform[0].Page1[0].c1_02_0_[1],Change in current classification. Go to line 2a.,checkbox,1,"66.8,266.0,74.8,274.0"
topmostsubform_0_page1_0_c1_03_0_0,topmostSubform[0].Page1[0].c1_03_0_[0],Yes. Go to line 2b.,checkbox,1,"66.8,314.0,74.8,322.0"
topmostsubform_0_page1_0_c1_03_0_1,topmostSubform[0].Page1[0].c1_03_0_[1],No. Skip line 2b and go to line,checkbox,1,"66.8,326.0,74.8,334.0"
topmostsubform_0_page1_0_c1_04_0_0,topmostSubform[0].Page1[0].c1_04_0_[0],Yes. Go to line 3.,checkbox,1,"66.8,386.0,74.8,394.0"
topmostsubform_0_page1_0_c1_04_0_1,topmostSubform[0].Page1[0].c1_04_0_[1],No. Stop here. You generally are not currently,checkbox,1,"66.8,398.0,74.8,406.0"
topmostsubform_0_page1_0_c1_05_0_0,topmostSubform[0].Page1[0].c1_05_0_[0],Yes. You can elect to be classified as,checkbox,1,"66.8,446.0,74.8,454.0"
topmostsubform_0_page1_0_c1_05_0_1,topmostSubform[0].Page1[0].c1_05_0_[1],No. You can elect to be classified as,checkbox,1,"66.8,458.0,74.8,466.0"
topmostsubform_0_page1_0_p1_t6_0,topmostSubform[0].Page1[0].p1-t6[0],a Name of owner ▶,text,1,"140.4,516.0,575.5,528.0"
topmostsubform_0_page1_0_p1_t7_0,topmostSubform[0].Page1[0].p1-t7[0],b Identifying number of owner ▶,text,1,"192.6,528.0,576.0,540.0"
topmostsubform_0_page1_0_p1_t8_0,topmostSubform[0].Page1[0].p1-t8[0],a Name of parent corporation ▶,text,1,"192.0,600.0,576.0,612.0"
topmostsubform_0_page1_0_p1_t9_0,topmostSubform[0].Page1[0].p1-t9[0],b Employer identification number ▶,text,1,"203.4,612.0,576.0,624.0"
topmostsubform_0_page2_0_c2_01_0_0,topmostSubform[0].Page2[0].c2_01_0_[0],A domestic eligible entity electing to be classified,checkbox,2,"66.8,86.0,74.8,94.0"
topmostsubform_0_page2_0_c2_01_0_1,topmostSubform[0].Page2[0].c2_01_0_[1],A domestic eligible entity electing to be classified,checkbox,2,"66.8,98.0,74.8,106.0"
topmostsubform_0_page2_0_c2_01_0_2,topmostSubform[0].Page2[0].c2_01_0_[2],A domestic eligible entity with a single owner,checkbox,2,"66.8,110.0,74.8,118.0"
topmostsubform_0_page2_0_c2_01_0_3,topmostSubform[0].Page2[0].c2_01_0_[3],A foreign eligible entity electing to be classified,checkbox,2,"66.8,122.0,74.8,130.0"
topmostsubform_0_page2_0_c2_01_0_4,topmostSubform[0].Page2[0].c2_01_0_[4],A foreign eligible entity electing to be classified,checkbox,2,"66.8,134.0,74.8,142.0"
topmostsubform_0_page2_0_c2_01_0_5,topmostSubform[0].Page2[0].c2_01_0_[5],A foreign eligible entity with a single owner,checkbox,2,"66.8,146.0,74.8,154.0"
topmostsubform_0_page2_0_p2_t1_0,topmostSubform[0].Page2[0].p2-t1[0],organization ▶,text,2,"129.6,180.0,576.0,192.0"
topmostsubform_0_page2_0_p2_t2_0,topmostSubform[0].Page2[0].p2-t2[0],. . . . . . . . . ▶,text,2,"511.2,204.0,576.0,216.0"
topmostsubform_0_page2_0_p2_t5_0,topmostSubform[0].Page2[0].p2-t5[0],,text,2,"64.8,240.0,396.0,264.0"
topmostsubform_0_page2_0_p2_t7_0,topmostSubform[0].Page2[0].p2-t7[0],,text,2,"396.0,240.0,576.0,264.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow1_0_p2_t9_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow1[0].p2-t9[0],,text,2,"374.4,360.0,576.0,384.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow2_0_p2_t11_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow2[0].p2-t11[0],,text,2,"374.4,384.0,576.0,408.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow3_0_p2_t13_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow3[0].p2-t13[0],,text,2,"374.4,408.0,576.0,432.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow4_0_p2_t15_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow4[0].p2-t15[0],,text,2,"374.4,432.0,576.0,456.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow5_0_p2_t17_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow5[0].p2-t17[0],,text,2,"374.4,456.0,576.0,480.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow6_0_p2_t19_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow6[0].p2-t19[0],,text,2,"374.4,480.0,576.0,504.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow7_0_p2_t21_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow7[0].p2-t21[0],,text,2,"374.4,504.0,576.0,528.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow8_0_p2_t23_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow8[0].p2-t23[0],,text,2,"374.4,528.0,576.0,552.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow9_0_p2_t25_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow9[0].p2-t25[0],,text,2,"374.4,552.0,576.0,576.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow10_0_p2_t27_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow10[0].p2-t27[0],,text,2,"374.4,576.0,576.0,600.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow11_0_p2_t29_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow11[0].p2-t29[0],,text,2,"374.4,600.0,576.0,624.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow12_0_p2_t31_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow12[0].p2-t31[0],,text,2,"374.4,624.0,576.0,648.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow13_0_p2_t33_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow13[0].p2-t33[0],,text,2,"374.4,648.0,576.0,672.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow14_0_p2_t35_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow14[0].p2-t35[0],,text,2,"374.4,672.0,576.0,696.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow15_0_p2_t37_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow15[0].p2-t37[0],,text,2,"374.4,696.0,576.0,720.0"
topmostsubform_0_page2_0_pg2table_0_bodyrow16_0_p2_t39_0,topmostSubform[0].Page2[0].Pg2Table[0].BodyRow16[0].p2-t39[0],,text,2,"374.4,720.0,576.0,744.0"
topmostsubform_0_page3_0_f3_001_0,topmostSubform[0].Page3[0].f3_001[0],,text,3,"36.0,84.0,576.0,108.0"
topmostsubform_0_page3_0_f3_002_0,topmostSubform[0].Page3[0].f3_002[0],,text,3,"36.0,108.0,576.0,132.0"
topmostsubform_0_page3_0_f3_003_0,topmostSubform[0].Page3[0].f3_003[0],,text,3,"36.0,132.0,576.0,156.0"
topmostsubform_0_page3_0_f3_004_0,topmostSubform[0].Page3[0].f3_004[0],,text,3,"36.0,156.0,576.0,180.0"
topmostsubform_0_page3_0_f3_005_0,topmostSubform[0].Page3[0].f3_005[0],,text,3,"36.0,180.0,576.0,204.0"
topmostsubform_0_page3_0_f3_006_0,topmostSubform[0].Page3[0].f3_006[0],,text,3,"36.0,204.0,576.0,228.0"
topmostsubform_0_page3_0_f3_007_0,topmostSubform[0].Page3[0].f3_007[0],,text,3,"36.0,228.0,576.0,252.0"
topmostsubform_0_page3_0_f3_008_0,topmostSubform[0].Page3[0].f3_008[0],,text,3,"36.0,252.0,576.0,276.0"
topmostsubform_0_page3_0_f3_009_0,topmostSubform[0].Page3[0].f3_009[0],,text,3,"36.0,276.0,576.0,300.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow1_0_f3_010_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow1[0].f3_010[0],,text,3,"374.4,360.0,576.0,384.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow2_0_f3_011_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow2[0].f3_011[0],,text,3,"374.4,384.0,576.0,408.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow3_0_f3_012_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow3[0].f3_012[0],,text,3,"374.4,408.0,576.0,432.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow4_0_f3_013_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow4[0].f3_013[0],,text,3,"374.4,432.0,576.0,456.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow5_0_f3_014_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow5[0].f3_014[0],,text,3,"374.4,456.0,576.0,480.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow6_0_f3_015_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow6[0].f3_015[0],,text,3,"374.4,480.0,576.0,504.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow7_0_f3_016_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow7[0].f3_016[0],,text,3,"374.4,504.0,576.0,528.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow8_0_f3_017_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow8[0].f3_017[0],,text,3,"374.4,528.0,576.0,552.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow9_0_f3_018_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow9[0].f3_018[0],,text,3,"374.4,552.0,576.0,576.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow10_0_f3_019_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow10[0].f3_019[0],,text,3,"374.4,576.0,576.0,600.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow11_0_f3_020_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow11[0].f3_020[0],,text,3,"374.4,600.0,576.0,624.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow12_0_f3_021_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow12[0].f3_021[0],,text,3,"374.4,624.0,576.0,648.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow13_0_f3_022_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow13[0].f3_022[0],,text,3,"374.4,648.0,576.0,672.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow14_0_f3_023_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow14[0].f3_023[0],,text,3,"374.4,672.0,576.0,696.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow15_0_f3_024_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow15[0].f3_024[0],,text,3,"374.4,696.0,576.0,720.0"
topmostsubform_0_page3_0_pg3table_0_bodyrow16_0_f3_025_0,topmostSubform[0].Page3[0].Pg3Table[0].BodyRow16[0].f3_025[0],,text,3,"374.4,720.0,576.0,744.0"
