field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
clear,Clear,W001,checkbox,boolean,narrative_derived,choice,0,5,green,,Y,,llm_over_narrative,
print,Print,W002,checkbox,boolean,narrative_derived,choice,0,5,green,,Y,,llm_over_narrative,
withholding_account_number,Withholding account number,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
amount_remitted,Amount remitted,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
business_name,Business name,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
quarter_begin_date,Quarter begin date,W006,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
quarter_end_date,Quarter end date,W007,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
date_wages_non_wages_paid,Date wages/non-wages paid,W008,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
amount_withheld1,Amount withheld1,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_wages_non_wages_paid1,Date wages/non-wages paid1,W010,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
amount_withheld2,Amount withheld2,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
date_wages_non_wages_paid2,Date wages/non-wages paid2,W012,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
amount_withheld3,Amount withheld3,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
contact_person,Contact person,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
contact_persons_number,Contact persons number,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
