field_id,label,caption,type,page,rect
fidu_1041_page_3a_percent,Fidu 1041 Page 3A percent,(c) B- $,text,2,"308.9,192.4,339.1,210.4"
fidu_1041_page_3b_state,Fidu 1041 Page 3B state,(c) B- $ %,text,2,"363.6,192.4,384.4,210.4"
fidu_1041_page_3b_fiduciary_ss_or_ein_number,Fidu 1041 Page 3B Fiduciary ss or EIN number,(c) B- $ %,text,2,"399.6,192.7,462.3,210.7"
fidu_1041_page_3c_maine_source_income,Fidu 1041 Page 3C maine source income,(c) B- $ % $,text,2,"480.7,192.7,575.3,210.7"
fidu_1041_page_3c_name,Fidu 1041 Page 3C name,(d) B-,text,2,"63.2,215.7,176.8,233.7"
fidu_1041_page_3c_share_of_income,Fidu 1041 Page 3C share of income,(d) B- $,text,2,"193.6,215.7,304.4,233.7"
fidu_1041_page_3c_percent,Fidu 1041 Page 3C percent,(d) B- $,text,2,"308.9,214.7,339.1,232.7"
fidu_1041_page_3c_state,Fidu 1041 Page 3C state,(d) B- $ %,text,2,"363.6,214.7,384.4,232.7"
fidu_1041_page_3c_fiduciary_ss_or_ein_number,Fidu 1041 Page 3C Fiduciary ss or EIN number,(d) B- $ %,text,2,"399.6,214.7,462.3,232.7"
fidu_1041_page_3d_maine_source_income,Fidu 1041 Page 3D Maine source income,(d) B- $ % $,text,2,"480.7,214.7,575.3,232.7"
fidu_1041_page_3d_name,Fidu 1041 Page 3D name,(e) B-,text,2,"63.2,237.7,176.8,255.7"
fidu_1041_page_3d_share_of_income,Fidu 1041 Page 3D share of income,(e) B- $,text,2,"193.6,237.7,304.4,255.7"
fidu_1041_page_3d_percent,Fidu 1041 Page 3D percent,(e) B- $,text,2,"308.9,238.3,339.1,255.7"
fidu_1041_page_3d_state,Fidu 1041 Page 3D state,(e) B- $ %,text,2,"363.6,237.7,384.4,255.7"
fidu_1041_page_3d_fiduciary_ss_or_ein_number,Fidu 1041 Page 3D Fiduciary ss or EIN number,(e) B- $ %,text,2,"399.6,237.7,462.3,255.7"
fidu_1041_page_3e_maine_source_income,Fidu 1041 Page 3E Maine source income,(e) B- $ % $,text,2,"480.7,237.7,575.3,255.7"
fidu_1041_page_3e_name,Fidu 1041 Page 3E name,(f) E/T-,text,2,"66.2,259.7,176.2,278.9"
fidu_1041_page_3e_share_of_income,Fidu 1041 Page 3E share of income,(f) E/T- $,text,2,"193.6,259.7,304.4,277.7"
fidu_1041_page_3e_percent,Fidu 1041 Page 3E percent,(f) E/T- $,text,2,"308.9,259.7,339.1,277.7"
fidu_1041_page_3f_share_of_income,Fidu 1041 Page 3F share of income,,text,2,"193.6,282.7,304.4,300.7"
fidu_1041_page_3f_maine_source_income,Fidu 1041 Page 3F Maine source income,(g) Total $ 100% $,text,2,"480.7,283.1,575.3,301.1"
fidu_1041_schedule_3_1,Fidu 1041 Schedule 3 1,,text,2,"462.6,367.1,543.4,385.1"
fidu_1041_income_taxed_by,Fidu 1041 Income taxed by,,text,2,"162.5,391.0,240.3,409.0"
fidu_1041_schedule_3_1a,Fidu 1041 Schedule 3 1A,,text,2,"463.4,391.0,543.4,409.0"
fidu_1041_schedule_3_1b,Fidu 1041 Schedule 3 1B,,text,2,"462.6,415.0,543.4,433.0"
fidu_1041_schedule_3_1c,Fidu 1041 Schedule 3 1C,"a Form 1041ME, page 1, line 4 $",text,2,"170.3,453.4,222.1,471.4"
fidu_1041_schedule_3_1d,Fidu 1041 Schedule 3 1D,"Form 1041ME, page 1, line 4 $ ____________ multiplied by",text,2,"270.1,453.6,305.3,471.8"
fidu_1041_schedule_3_1e,Fidu 1041 Schedule 3 1E,____________ multiplied by ________% on line 3 above. .......................... 4a,text,2,"462.6,452.8,543.4,470.8"
fidu_1041_schedule_3_1f,Fidu 1041 Schedule 3 1F,,text,2,"462.6,474.8,543.4,492.8"
fidu_1041_schedule_3_1g,Fidu 1041 Schedule 3 1G,,text,2,"462.6,498.8,543.4,516.8"
