field_id,label,caption,type,page,rect
topmostsubform_0_page1_0_f1_1_0,topmostSubform[0].Page1[0].f1_1[0],,text,0,"64.8,118.0,287.2,132.0"
topmostsubform_0_page1_0_f1_2_0,topmostSubform[0].Page1[0].f1_2[0],,text,0,"289.0,118.0,460.0,132.0"
topmostsubform_0_page1_0_f1_3_0,topmostSubform[0].Page1[0].f1_3[0],,text,0,"460.8,120.0,496.8,132.0"
topmostsubform_0_page1_0_f1_4_0,topmostSubform[0].Page1[0].f1_4[0],,text,0,"496.8,120.0,525.6,132.0"
topmostsubform_0_page1_0_f1_5_0,topmostSubform[0].Page1[0].f1_5[0],,text,0,"525.6,120.0,576.0,132.0"
topmostsubform_0_page1_0_f1_6_0,topmostSubform[0].Page1[0].f1_6[0],,text,0,"64.8,142.0,337.6,156.0"
topmostsubform_0_page1_0_f1_7_0,topmostSubform[0].Page1[0].f1_7[0],,text,0,"339.4,142.0,445.6,156.0"
topmostsubform_0_page1_0_f1_8_0,topmostSubform[0].Page1[0].f1_8[0],,text,0,"446.4,142.0,511.2,156.0"
topmostsubform_0_page1_0_f1_9_0,topmostSubform[0].Page1[0].f1_9[0],,text,0,"511.2,142.0,576.0,156.0"
topmostsubform_0_page1_0_f1_10_0,topmostSubform[0].Page1[0].f1_10[0],,text,0,"64.8,166.0,179.2,180.0"
topmostsubform_0_page1_0_f1_11_0,topmostSubform[0].Page1[0].f1_11[0],,text,0,"181.0,166.0,287.2,180.0"
topmostsubform_0_page1_0_f1_12_0,topmostSubform[0].Page1[0].f1_12[0],,text,0,"288.0,166.0,360.0,180.0"
topmostsubform_0_page1_0_f1_13_0,topmostSubform[0].Page1[0].f1_13[0],,text,0,"360.0,166.0,453.6,180.0"
topmostsubform_0_page1_0_f1_14_0,topmostSubform[0].Page1[0].f1_14[0],,text,0,"453.6,166.0,518.4,180.0"
topmostsubform_0_page1_0_f1_15_0,topmostSubform[0].Page1[0].f1_15[0],,text,0,"518.4,166.0,576.0,180.0"
topmostsubform_0_page1_0_f1_16_0,topmostSubform[0].Page1[0].f1_16[0],,text,0,"64.8,190.0,452.9,204.0"
topmostsubform_0_page1_0_f1_17_0,topmostSubform[0].Page1[0].f1_17[0],,text,0,"453.6,192.0,576.0,204.0"
topmostsubform_0_page1_0_f1_20_0,topmostSubform[0].Page1[0].f1_20[0],,text,0,"64.8,214.0,445.6,228.0"
topmostsubform_0_page1_0_f1_21_0,topmostSubform[0].Page1[0].f1_21[0],,text,0,"446.4,214.0,576.0,228.0"
topmostsubform_0_page1_0_f1_22_0,topmostSubform[0].Page1[0].f1_22[0],,text,0,"64.8,238.0,445.6,252.0"
topmostsubform_0_page1_0_f1_23_0,topmostSubform[0].Page1[0].f1_23[0],,text,0,"446.4,238.0,511.2,252.0"
topmostsubform_0_page1_0_f1_24_0,topmostSubform[0].Page1[0].f1_24[0],,text,0,"511.2,238.0,576.0,252.0"
topmostsubform_0_page1_0_f1_25_0,topmostSubform[0].Page1[0].f1_25[0],,text,0,"64.8,262.0,179.2,276.0"
topmostsubform_0_page1_0_f1_26_0,topmostSubform[0].Page1[0].f1_26[0],,text,0,"181.0,262.0,301.6,276.0"
topmostsubform_0_page1_0_f1_27_0,topmostSubform[0].Page1[0].f1_27[0],,text,0,"302.4,262.0,410.4,276.0"
topmostsubform_0_page1_0_f1_28_0,topmostSubform[0].Page1[0].f1_28[0],,text,0,"410.4,262.0,576.0,276.0"
topmostsubform_0_page1_0_c1_1_0,topmostSubform[0].Page1[0].c1_1[0],Check here if there are multiple executors. If,checkbox,0,"66.2,278.0,74.2,286.0"
topmostsubform_0_page1_0_f1_29_0,topmostSubform[0].Page1[0].f1_29[0],,text,0,"64.8,298.0,272.9,312.0"
topmostsubform_0_page1_0_f1_30_0,topmostSubform[0].Page1[0].f1_30[0],,text,0,"274.6,298.0,510.5,312.0"
topmostsubform_0_page1_0_f1_31_0,topmostSubform[0].Page1[0].f1_31[0],,text,0,"511.2,298.0,576.0,312.0"
topmostsubform_0_page1_0_c1_2_0,topmostSubform[0].Page1[0].c1_2[0],The decedent died testate.,checkbox,0,"66.8,326.0,74.8,334.0"
topmostsubform_0_page1_0_c1_3_0,topmostSubform[0].Page1[0].c1_3[0],You attached a certified copy of the Will.,checkbox,0,"66.8,338.0,74.8,346.0"
topmostsubform_0_page1_0_c1_4_0,topmostSubform[0].Page1[0].c1_4[0],You attached the death certificate. Note. A death,checkbox,0,"66.8,350.0,74.8,358.0"
topmostsubform_0_page1_0_c1_5_0,topmostSubform[0].Page1[0].c1_5[0],You extended the time to file this Form,checkbox,0,"66.8,362.0,74.8,370.0"
topmostsubform_0_page1_0_c1_6_0,topmostSubform[0].Page1[0].c1_6[0],You are estimating the value of assets included,checkbox,0,"66.8,374.0,74.8,382.0"
topmostsubform_0_page1_0_c1_7_0,topmostSubform[0].Page1[0].c1_7[0],This is a supplemental return.,checkbox,0,"66.8,386.0,74.8,394.0"
topmostsubform_0_page1_0_c1_8_0,topmostSubform[0].Page1[0].c1_8[0],You previously filed a section 2053 protective claim,checkbox,0,"66.8,398.0,74.8,406.0"
topmostsubform_0_page1_0_f1_32_0,topmostSubform[0].Page1[0].f1_32[0],date(s) of the initial section 2053 protective claim(s) for refund:,text,0,"424.8,408.0,576.0,419.5"
topmostsubform_0_page1_0_f1_33_0,topmostSubform[0].Page1[0].f1_33[0],. . . . . . . . . 1,text,0,"482.4,432.0,576.0,444.0"
topmostsubform_0_page1_0_f1_34_0,topmostSubform[0].Page1[0].f1_34[0],. . . . . . . . . 2,text,0,"482.4,444.0,576.0,456.0"
topmostsubform_0_page1_0_f1_35_0,topmostSubform[0].Page1[0].f1_35[0],. . . . . . . . . 3a,text,0,"482.4,456.0,576.0,468.0"
topmostsubform_0_page1_0_f1_36_0,topmostSubform[0].Page1[0].f1_36[0],. . . . . . . . . 3b,text,0,"482.4,468.0,576.0,480.0"
topmostsubform_0_page1_0_f1_37_0,topmostSubform[0].Page1[0].f1_37[0],. . . . . . . . . 3c,text,0,"482.4,480.0,576.0,492.0"
topmostsubform_0_page1_0_f1_38_0,topmostSubform[0].Page1[0].f1_38[0],. . . . . . . . . 4,text,0,"482.4,492.0,576.0,504.0"
