widget_id,label,type,page,rect
topmostSubform[0].Page2[0].Table_Part1[0].Row5[0].f2_33[0],Date of ownership,Text,1,"310,552,360,612"
topmostSubform[0].Page2[0].Table_Part1[0].Row5[0].f2_34[0],Date of ownership acquired,Text,1,"360,552,410,612"
topmostSubform[0].Page2[0].Table_Part1[0].Row5[0].f2_35[0],ownership acquired instructions),Text,1,"410,552,461,612"
topmostSubform[0].Page2[0].Table_Part1[0].Row5[0].f2_36[0],acquired instructions) day),Text,1,"461,552,518,612"
topmostSubform[0].Page2[0].Table_Part1[0].Row5[0].f2_37[0],instructions) day),Text,1,"519,552,576,612"
topmostSubform[0].Page2[0].Table_Part1[0].Row6[0].f2_38[0],(see instructions),Text,1,"36,612,187,672"
topmostSubform[0].Page2[0].Table_Part1[0].Row6[0].f2_39[0],Signature Date,Text,1,"188,612,310,672"
topmostSubform[0].Page2[0].Table_Part1[0].Row6[0].f2_40[0],Date of ownership,Text,1,"310,612,360,672"
topmostSubform[0].Page2[0].Table_Part1[0].Row6[0].f2_41[0],Date of ownership acquired,Text,1,"360,612,410,672"
topmostSubform[0].Page2[0].Table_Part1[0].Row6[0].f2_42[0],ownership acquired instructions),Text,1,"410,612,461,672"
topmostSubform[0].Page2[0].Table_Part1[0].Row6[0].f2_43[0],acquired instructions) day),Text,1,"461,612,518,672"
topmostSubform[0].Page2[0].Table_Part1[0].Row6[0].f2_44[0],instructions) day),Text,1,"519,612,576,672"
topmostSubform[0].Page2[0].Table_Part1[0].Row7[0].f2_45[0],(see instructions),Text,1,"36,672,187,732"
topmostSubform[0].Page2[0].Table_Part1[0].Row7[0].f2_46[0],Signature Date,Text,1,"188,672,310,732"
topmostSubform[0].Page2[0].Table_Part1[0].Row7[0].f2_47[0],Date of ownership,Text,1,"310,672,360,732"
topmostSubform[0].Page2[0].Table_Part1[0].Row7[0].f2_48[0],Date of ownership acquired,Text,1,"360,672,410,732"
topmostSubform[0].Page2[0].Table_Part1[0].Row7[0].f2_49[0],ownership acquired instructions),Text,1,"410,672,461,732"
topmostSubform[0].Page2[0].Table_Part1[0].Row7[0].f2_50[0],acquired instructions) day),Text,1,"461,672,518,732"
topmostSubform[0].Page2[0].Table_Part1[0].Row7[0].f2_51[0],instructions) day),Text,1,"519,672,576,732"
topmostSubform[0].Page3[0].f3_01[0],Name Employer,Text,2,"36,58,425,72"
topmostSubform[0].Page3[0].f3_02[0],Selection of Fiscal Tax Year (see instructions),Text,2,"425,58,576,72"
topmostSubform[0].Page3[0].c3_1[0],A new corporation adopting the tax year entered,CheckBox,2,"75,110,83,118"
topmostSubform[0].Page3[0].c3_1[1],An existing corporation retaining the tax year entered,CheckBox,2,"75,122,83,130"
topmostSubform[0].Page3[0].c3_1[2],An existing corporation changing to the tax year,CheckBox,2,"75,134,83,142"
