field_id,label,caption,type,page,rect
topmostsubform_0_page2_0_f2_07_0,topmostSubform[0].Page2[0].f2_07[0],,text,1,"36.0,328.0,395.2,342.0"
topmostsubform_0_page2_0_f2_08_0,topmostSubform[0].Page2[0].f2_08[0],,text,1,"397.0,328.0,576.0,342.0"
topmostsubform_0_page2_0_f2_09_0,topmostSubform[0].Page2[0].f2_09[0],,text,1,"36.0,352.0,395.2,366.0"
topmostsubform_0_page2_0_f2_10_0,topmostSubform[0].Page2[0].f2_10[0],,text,1,"396.0,352.0,576.0,366.0"
topmostsubform_0_page2_0_f2_11_0,topmostSubform[0].Page2[0].f2_11[0],,text,1,"36.0,376.0,337.6,390.0"
topmostsubform_0_page2_0_f2_12_0,topmostSubform[0].Page2[0].f2_12[0],,text,1,"338.4,376.0,403.2,390.0"
topmostsubform_0_page2_0_time_readorder_0_f2_13_0,topmostSubform[0].Page2[0].Time_ReadOrder[0].f2_13[0],,text,1,"403.2,376.0,446.4,390.0"
topmostsubform_0_page2_0_time_readorder_0_c2_5_0,topmostSubform[0].Page2[0].Time_ReadOrder[0].c2_5[0],a.m. Place of other proceedings,checkbox,1,"451.4,368.5,459.4,376.5"
topmostsubform_0_page2_0_time_readorder_0_c2_5_1,topmostSubform[0].Page2[0].Time_ReadOrder[0].c2_5[1],p.m.,checkbox,1,"451.4,379.5,459.4,387.5"
topmostsubform_0_page2_0_f2_14_0,topmostSubform[0].Page2[0].f2_14[0],p.m.,text,1,"483.4,376.0,576.0,390.0"
topmostsubform_0_page2_0_f2_15_0,topmostSubform[0].Page2[0].f2_15[0],Here,text,1,"316.8,438.0,453.6,450.0"
