field_id,label,caption,type,page,rect
topmostsubform_0_page1_0_f1_20_0,topmostSubform[0].Page1[0].f1_20[0],Other (specify) Group Exemption Number (GEN) if any,text,0,"473.0,348.0,576.0,360.0"
topmostsubform_0_page1_0_f1_21_0,topmostSubform[0].Page1[0].f1_21[0],applicable) where incorporated,text,0,"274.6,370.0,402.5,384.0"
topmostsubform_0_page1_0_f1_22_0,topmostSubform[0].Page1[0].f1_22[0],applicable) where incorporated,text,0,"404.2,370.0,576.0,384.0"
topmostsubform_0_page1_0_c1_4_0,topmostSubform[0].Page1[0].c1_4[0],Started new business (specify type) Changed type of,checkbox,0,"60.8,398.0,68.8,406.0"
topmostsubform_0_page1_0_f1_25_0,topmostSubform[0].Page1[0].f1_25[0],Started new business (specify type),text,0,"208.8,396.0,266.4,408.0"
topmostsubform_0_page1_0_f1_26_0,topmostSubform[0].Page1[0].f1_26[0],,text,0,"57.6,408.0,266.4,420.0"
topmostsubform_0_page1_0_c1_4_1,topmostSubform[0].Page1[0].c1_4[1],Changed type of organization (specify new type),checkbox,0,"276.8,399.0,284.8,407.0"
topmostsubform_0_page1_0_f1_27_0,topmostSubform[0].Page1[0].f1_27[0],business (specify type) Changed type of organization (specify new type),text,0,"468.0,396.0,576.0,408.0"
topmostsubform_0_page1_0_c1_4_2,topmostSubform[0].Page1[0].c1_4[2],Purchased going business,checkbox,0,"276.8,411.0,284.8,419.0"
topmostsubform_0_page1_0_c1_4_3,topmostSubform[0].Page1[0].c1_4[3],Hired employees (Check the box and see line,checkbox,0,"60.8,423.0,68.8,431.0"
topmostsubform_0_page1_0_c1_4_4,topmostSubform[0].Page1[0].c1_4[4],Created a trust (specify type),checkbox,0,"276.8,423.0,284.8,431.0"
topmostsubform_0_page1_0_f1_28_0,topmostSubform[0].Page1[0].f1_28[0],box and see line 13.) Created a trust (specify type),text,0,"403.2,420.0,576.0,432.0"
topmostsubform_0_page1_0_c1_4_5,topmostSubform[0].Page1[0].c1_4[5],Compliance with IRS withholding regulations Created a pension,checkbox,0,"60.8,435.0,68.8,443.0"
topmostsubform_0_page1_0_c1_4_6,topmostSubform[0].Page1[0].c1_4[6],Created a pension plan (specify type),checkbox,0,"276.8,435.0,284.8,443.0"
topmostsubform_0_page1_0_f1_29_0,topmostSubform[0].Page1[0].f1_29[0],with IRS withholding regulations Created a pension plan (specify type),text,0,"432.0,432.0,576.0,444.0"
topmostsubform_0_page1_0_c1_4_7,topmostSubform[0].Page1[0].c1_4[7],Other (specify),checkbox,0,"60.8,446.0,68.8,454.0"
topmostsubform_0_page1_0_c1_4_8,topmostSubform[0].Page1[0].c1_4[8],Banking purpose (specify purpose),checkbox,0,"276.8,387.0,284.8,395.0"
topmostsubform_0_page1_0_f1_24_0,topmostSubform[0].Page1[0].f1_24[0],for applying (check only one box) Banking purpose (specify purpose),text,0,"424.8,384.0,576.0,396.0"
topmostsubform_0_page1_0_f1_30_0,topmostSubform[0].Page1[0].f1_30[0],Other (specify),text,0,"136.8,444.0,576.0,456.0"
topmostsubform_0_page1_0_f1_31_0,topmostSubform[0].Page1[0].f1_31[0],,text,0,"57.6,466.0,331.2,480.0"
topmostsubform_0_page1_0_f1_32_0,topmostSubform[0].Page1[0].f1_32[0],,text,0,"353.6,465.2,576.0,480.0"
topmostsubform_0_page1_0_f1_33_0,topmostSubform[0].Page1[0].f1_33[0],,text,0,"57.6,526.0,144.0,540.0"
topmostsubform_0_page1_0_f1_34_0,topmostSubform[0].Page1[0].f1_34[0],,text,0,"144.0,526.0,230.4,540.0"
topmostsubform_0_page1_0_f1_35_0,topmostSubform[0].Page1[0].f1_35[0],,text,0,"230.4,526.0,331.2,540.0"
topmostsubform_0_page1_0_c1_5_0,topmostSubform[0].Page1[0].c1_5[0],,checkbox,0,"563.6,530.0,571.6,538.0"
topmostsubform_0_page1_0_f1_36_0,topmostSubform[0].Page1[0].f1_36[0],. . . . . . . . . .,text,0,"396.0,552.0,576.0,564.0"
topmostsubform_0_page1_0_c1_6_0,topmostSubform[0].Page1[0].c1_6[0],Health care & social assistance Wholesale—agent/broker,checkbox,0,"320.0,566.0,328.0,574.0"
topmostsubform_0_page1_0_c1_6_1,topmostSubform[0].Page1[0].c1_6[1],Wholesale—agent/broker,checkbox,0,"449.6,566.0,457.6,574.0"
topmostsubform_0_page1_0_c1_6_2,topmostSubform[0].Page1[0].c1_6[2],Construction Rental & leasing Transportation & warehousing Accommodation,checkbox,0,"60.8,578.0,68.8,586.0"
topmostsubform_0_page1_0_c1_6_3,topmostSubform[0].Page1[0].c1_6[3],Rental & leasing Transportation & warehousing Accommodation &,checkbox,0,"125.6,578.0,133.6,586.0"
topmostsubform_0_page1_0_c1_6_4,topmostSubform[0].Page1[0].c1_6[4],Transportation & warehousing Accommodation & food service Wholesale—other,checkbox,0,"204.8,578.0,212.8,586.0"
topmostsubform_0_page1_0_c1_6_5,topmostSubform[0].Page1[0].c1_6[5],Accommodation & food service Wholesale—other Retail,checkbox,0,"320.0,578.0,328.0,586.0"
topmostsubform_0_page1_0_c1_6_6,topmostSubform[0].Page1[0].c1_6[6],Wholesale—other Retail,checkbox,0,"449.6,578.0,457.6,586.0"
topmostsubform_0_page1_0_c1_6_7,topmostSubform[0].Page1[0].c1_6[7],Retail,checkbox,0,"536.0,578.0,544.0,586.0"
topmostsubform_0_page1_0_c1_6_8,topmostSubform[0].Page1[0].c1_6[8],Real estate Manufacturing Finance & insurance Other (specify),checkbox,0,"60.8,590.0,68.8,598.0"
topmostsubform_0_page1_0_c1_6_9,topmostSubform[0].Page1[0].c1_6[9],Manufacturing Finance & insurance Other (specify),checkbox,0,"125.6,590.0,133.6,598.0"
topmostsubform_0_page1_0_c1_6_10,topmostSubform[0].Page1[0].c1_6[10],Finance & insurance Other (specify),checkbox,0,"204.8,590.0,212.8,598.0"
topmostsubform_0_page1_0_c1_6_11,topmostSubform[0].Page1[0].c1_6[11],Other (specify),checkbox,0,"320.0,590.0,328.0,598.0"
topmostsubform_0_page1_0_f1_37_0,topmostSubform[0].Page1[0].f1_37[0],Real estate Manufacturing Finance & insurance Other (specify),text,0,"396.0,588.0,576.0,600.0"
topmostsubform_0_page1_0_f1_38_0,topmostSubform[0].Page1[0].f1_38[0],,text,0,"57.6,610.0,576.0,624.0"
topmostsubform_0_page1_0_c1_7_0,topmostSubform[0].Page1[0].c1_7[0],Yes No,checkbox,0,"356.0,626.0,364.0,634.0"
topmostsubform_0_page1_0_c1_7_1,topmostSubform[0].Page1[0].c1_7[1],No,checkbox,0,"399.2,626.0,407.2,634.0"
topmostsubform_0_page1_0_f1_39_0,topmostSubform[0].Page1[0].f1_39[0],"If “Yes,” write previous EIN here",text,0,"177.1,636.0,280.8,648.0"
topmostsubform_0_page1_0_f1_40_0,topmostSubform[0].Page1[0].f1_40[0],Party,text,0,"87.4,670.0,431.2,684.0"
topmostsubform_0_page1_0_f1_41_0,topmostSubform[0].Page1[0].f1_41[0],Party,text,0,"433.0,670.0,576.0,684.0"
topmostsubform_0_page1_0_f1_42_0,topmostSubform[0].Page1[0].f1_42[0],,text,0,"87.4,694.0,431.2,708.0"
topmostsubform_0_page1_0_f1_43_0,topmostSubform[0].Page1[0].f1_43[0],,text,0,"433.0,694.0,576.0,708.0"
topmostsubform_0_page1_0_f1_44_0,topmostSubform[0].Page1[0].f1_44[0],Name and title (type or print clearly),text,0,"151.0,720.0,431.2,732.0"
topmostsubform_0_page1_0_f1_45_0,topmostSubform[0].Page1[0].f1_45[0],Name and title (type or print clearly),text,0,"433.0,718.0,576.0,732.0"
topmostsubform_0_page1_0_f1_46_0,topmostSubform[0].Page1[0].f1_46[0],Signature Date,text,0,"433.0,742.0,576.0,756.0"
